screen_name,fullname,text,timestamp,following,followers,num_tweets,location,num_likes,id,date_joined,num_days_joined,days_on_twitter
ribbinlop1,ribbinlop,เตรียมพร้อมออกเถอะอีสัส  #รัฐบาลเตรียมพร้อม,2020-02-14 02:55:08,59,0,423,-1,0,1197751947131940864,2019-11-22 05:41:49,96 days 18:18:11.000000000,96
Windyx947,♡세훈`당신만사랑해요!,เอาเหี้ยไรมาพร้อม ปากดีไปงั้น ภึงเวลาจริงๆทำเหี้ยไรไม่ได้ซักอย่าง #รัฐบาลเตรียมพร้อม,2020-02-14 02:55:07,2034,3596,200294,2012 until the end,0,459275259,2012-01-09 05:42:00,2970 days 18:18:00.000000000,2970
ZLi0505,จิ่วเอ๋อแห่งชิงชิวผู้มีผัวเป็นมหาเทพ,อันนี้เข้าใจง่าย #รัฐบาลเตรียมพร้อม https://twitter.com/it_4440/status/1228019121704464384 …,2020-02-14 02:54:54,92,6,671,-1,0,1175963651070558208,2019-09-22 19:43:00,157 days 04:17:00.000000000,157
Kamonnew1,ช่างแม่ง,คลั่งเหี้ยไรหนักหนา นี่ยังไม่สิ้นกุมภาเลยห่ามึง ขออย่าให้มีใครเป็นอะไรเลย #รัฐบาลเตรียมพร้อม pic.twitter.com/aiJ7pqbVX4,2020-02-14 02:54:43,92,260,773,Thailand,4,908592954373050368,2017-09-15 00:26:00,894 days 23:34:00.000000000,894
ddark_d,เรียกเบิ้ม สิค้าบ,ได้โปรดอย่าโทษเกมเลยขอละ เพราะผมก็เล่น rov ไม่เห็นผมต้องวิ่งไปตีป้อมเลย #รัฐบาลเตรียมพร้อม pic.twitter.com/w5kZ8SQdXK,2020-02-14 02:54:41,83,3,1357,-1,5,1166654024445091840,2019-08-28 03:09:00,182 days 20:51:00.000000000,182
P_N_P_NG,KHUN PAN PAN,ถ้าการที่ประชาชนส่วนใหญ่ออกมาบ่นว่าบ้านเรามันไม่น่าอยู่ พวกคุณก็ควรพิจารณาตัวเองได้แล้วนะ // #รัฐบาลเตรียมพร้อม ที่จะลาออกแล้วหรือยัง?,2020-02-14 02:54:36,29,12,958,-1,0,1060802814459359232,2018-11-08 23:54:00,475 days 00:06:00.000000000,475
_0910112004,น้ำหวานz  🍹 ft.เป็นน้ำหวานที่กลั่นจากใจเค้า,#รัฐบาลเตรียมพร้อม ลาออก??,2020-02-14 02:54:34,792,31,15962,-1,0,1149243036796215296,2019-07-11 02:04:00,230 days 21:56:00.000000000,230
Omei3,Omei,ด่วนๆๆๆ เกิดเหตุกราดยิงอีกแล้ว จุฬาซอย 10 สามย่าน กทม    #กราดยิงจุฬาซอย10สามย่าน #รัฐบาลเตรียมพร้อม,2020-02-14 02:54:33,95,50,661,Bangkok Thailand,2,475973878,2012-01-27 08:49:00,2952 days 15:11:00.000000000,2952
NamtanCJ,นต. 8️⃣: 4️⃣ 2️⃣am,รีล่านี่ตอนแรกจะไม่รีละ รู้สึกเป็นเสนียด timeline แต่แม่ง ควรรี ให้โลกได้รู้ว่า ผู้นำไร้มารยาท และแสดงออกทางสังคมไม่เป็น สื่อสารกับนานาชาติๆไม่ได้ ขาดความรู้ ไม่ควรเป็นผู้นำ #รัฐบาลเตรียมพร้อม,2020-02-14 02:54:17,448,537,31428,Thailand,0,13168092,2008-02-06 09:35:00,4403 days 14:25:00.000000000,4403
Genezili,หมันนหนีเบบี๋มีสตางค์มันดีจะตายย,#รัฐบาลเตรียมพร้อม เหี้ยไร,2020-02-14 02:54:07,295,167,46513,-1,0,345233424,2011-07-30 00:42:00,3133 days 23:18:00.000000000,3133
minxxxis,CHARLOTTE  🌟 🌟,"ประเทศที่รัฐบาลตอแหลที่สุดในโลก

#รัฐบาลเตรียมพร้อม pic.twitter.com/US9H8KwmKj",2020-02-14 02:54:07,281,420,30390,"กรุงเทพมหานคร, ประเทศไทย",35,939080760568320000,2017-12-08 02:34:00,810 days 21:26:00.000000000,810
Trpt20,บะบะโอบะ,#รัฐบาลเตรียมพร้อม ลาออก,2020-02-14 02:53:58,403,49,163937,ออฟกัน,0,885521096014839808,2017-07-13 08:27:00,958 days 15:33:00.000000000,958
virustheme,Virustheme_,ควบคุมอารมณ์​ตัวเองยังไม่ได้เลยย​ ยังมีหน้าจะมาบริหารบ้านเมือง​ เศษสวะ​ ถุย​ #รัฐบาลเตรียมพร้อม,2020-02-14 02:53:56,35,1,59,-1,2,1081842616721784832,2019-01-06 01:19:00,416 days 22:41:00.000000000,416
ohmyjaeha,embrio,พึ่งผ่านยิงกราดโคราชมาหมาดๆ ตอนนี้ลามมากรุงเทพเเล้วหรอวะ เป็นเหี้ยไรกันหมด #ยิงกราดโคราช #รัฐบาลเตรียมพร้อม,2020-02-14 02:53:55,399,21,12238,"London, England",0,1121637634822918144,2019-04-25 21:50:00,307 days 02:10:00.000000000,307
